Num	GeneID	a17_example	lb_example	rsm_example	a17_example(Normalized)	lb_example(Normalized)	rsm_example(Normalized)	Start	Stop	Order	Strand	Length	PID	Gene	Function
1	SMc00065	0	18	0	0	1	0	1104685	1104936	SMc1	+	83	15964766	-	signalpeptideprotein
	SMc00065	0	18	0	0	1	0	1104699			+
2	SMc00458	0	694	2172	0	38	71	1104977	1105648	SMc2	+	223	15964767	feuP	transcriptionalregulator
	SMc00458	0	0	71	0	0	2	1104991			-
	SMc00458	0	0	18	0	0	1	1105007			+
	SMc00458	0	65	129	0	4	4	1105016			-
	SMc00458	0	0	146	0	0	5	1105029			-
	SMc00458	0	0	39	0	0	1	1105030			-
	SMc00458	0	26	0	0	1	0	1105031			+
	SMc00458	0	0	4	0	0	0	1105032			+
	SMc00458	0	0	80	0	0	3	1105047			-
	SMc00458	0	69	0	0	4	0	1105063			+
	SMc00458	0	0	24	0	0	1	1105105			+
	SMc00458	0	0	127	0	0	4	1105112			-
	SMc00458	0	0	118	0	0	4	1105167			-
	SMc00458	0	0	8	0	0	0	1105173			-
	SMc00458	0	2	96	0	0	3	1105178			-
	SMc00458	0	38	75	0	2	2	1105183			+
	SMc00458	0	0	19	0	0	1	1105229			+
	SMc00458	0	0	56	0	0	2	1105282			-
	SMc00458	0	0	50	0	0	2	1105298			+
	SMc00458	0	0	4	0	0	0	1105326			-
	SMc00458	0	0	1	0	0	0	1105371			-
	SMc00458	0	67	267	0	4	9	1105373			-
	SMc00458	0	0	26	0	0	1	1105389			+
	SMc00458	0	3	38	0	0	1	1105406			-
	SMc00458	0	0	59	0	0	2	1105407			-
	SMc00458	0	1	28	0	0	1	1105451			-
	SMc00458	0	75	193	0	4	6	1105467			+
	SMc00458	0	14	66	0	1	2	1105481			+
	SMc00458	0	0	84	0	0	3	1105488			-
	SMc00458	0	240	71	0	13	2	1105493			+
	SMc00458	0	2	45	0	0	1	1105591			+
	SMc00458	0	62	230	0	3	8	1105608			+
	SMc00458	0	30	0	0	2	0	1105633			+
3	SMc00129	49	3045	4951	49	165	160	1105638	1107023	SMc3	+	461	15964768	feuQ	sensorhistidinekinase
	SMc00129	0	1	6	0	0	0	1105707			-
	SMc00129	0	11	0	0	1	0	1105716			+
	SMc00129	0	16	97	0	1	3	1105765			-
	SMc00129	0	44	20	0	2	1	1105779			+
	SMc00129	24	15	135	24	1	4	1105781			+
	SMc00129	0	25	68	0	1	2	1105809			+
	SMc00129	0	52	50	0	3	2	1105814			+
	SMc00129	0	34	23	0	2	1	1105852			-
	SMc00129	0	156	205	0	8	7	1105867			-
	SMc00129	0	0	113	0	0	4	1105878			+
	SMc00129	0	38	185	0	2	6	1105883			+
	SMc00129	0	0	1	0	0	0	1105909			-
	SMc00129	0	0	44	0	0	1	1105922			-
	SMc00129	0	31	316	0	2	10	1105928			+
	SMc00129	0	1	14	0	0	0	1105967			-
	SMc00129	0	35	197	0	2	6	1105990			-
	SMc00129	0	0	49	0	0	2	1105991			-
	SMc00129	0	97	203	0	5	7	1106006			+
	SMc00129	0	104	30	0	6	1	1106017			+
	SMc00129	0	0	5	0	0	0	1106023			-
	SMc00129	0	0	29	0	0	1	1106028			-
	SMc00129	0	14	144	0	1	5	1106038			-
	SMc00129	0	1	0	0	0	0	1106039			+
	SMc00129	0	0	23	0	0	1	1106054			+
	SMc00129	0	53	1	0	3	0	1106057			-
	SMc00129	24	137	73	24	7	2	1106062			-
	SMc00129	0	12	7	0	1	0	1106114			-
	SMc00129	0	35	29	0	2	1	1106188			+
	SMc00129	0	354	179	0	19	6	1106195			-
	SMc00129	0	145	48	0	8	2	1106221			+
	SMc00129	0	140	157	0	8	5	1106251			+
	SMc00129	0	0	45	0	0	1	1106271			+
	SMc00129	0	40	34	0	2	1	1106292			-
	SMc00129	0	163	19	0	9	1	1106295			-
	SMc00129	0	101	82	0	5	3	1106326			-
	SMc00129	0	10	0	0	1	0	1106340			+
	SMc00129	0	140	106	0	8	3	1106384			+
	SMc00129	0	185	347	0	10	11	1106429			+
	SMc00129	0	0	1	0	0	0	1106433			+
	SMc00129	0	34	5	0	2	0	1106467			-
	SMc00129	0	74	256	0	4	8	1106471			+
	SMc00129	0	20	1	0	1	0	1106488			-
	SMc00129	0	1	0	0	0	0	1106495			+
	SMc00129	0	119	125	0	6	4	1106505			+
	SMc00129	0	30	51	0	2	2	1106537			-
	SMc00129	0	20	15	0	1	0	1106553			+
	SMc00129	0	0	7	0	0	0	1106580			+
	SMc00129	0	39	8	0	2	0	1106585			+
	SMc00129	0	5	196	0	0	6	1106625			-
	SMc00129	0	46	69	0	2	2	1106635			-
